hidden_layers,hidden_sizes_mean,max_hidden_size,min_hidden_size,variance_hidden_sizes,accuracy,introspectability,flops
6,55.833333333333336,102,12,1105.1388888888887,0.3232,0.5742667896880044,80015.0
13,66.6923076923077,126,21,1079.5976331360948,0.2739,0.5503360349271033,120050.0
11,61.18181818181818,119,11,1593.603305785124,0.281,0.5646164986822341,208158.0
12,84.33333333333333,121,34,740.888888888889,0.2277,0.6129152748319838,361213.0
15,69.6,127,13,1196.7733333333333,0.2309,0.6142944539586703,455939.0
15,59.8,122,11,1176.2933333333335,0.2595,0.5713709397448434,99325.0
11,65.54545454545455,123,18,1452.0661157024792,0.2427,0.6735158503055573,180389.0
13,64.84615384615384,122,20,1231.5147928994081,0.2186,0.6026657289928861,353058.0
10,74.0,122,12,1662.4,0.2344,0.5796378544635243,411604.0
11,80.45454545454545,124,37,585.5206611570248,0.2976,0.5574811238381597,263285.0
3,90.66666666666667,101,72,174.8888888888889,0.4244,0.4618476698795954,319538.0
15,59.13333333333333,124,13,1569.182222222222,0.2633,0.5446538709931903,431082.0
12,80.33333333333333,126,16,1330.0555555555557,0.2583,0.6202329483297137,392464.0
4,53.75,126,11,1875.1875,0.3746,0.6281437751319673,390792.0
3,65.0,121,17,1834.6666666666667,0.3745,0.5298780484331979,61300.0
5,82.0,118,57,441.2,0.3879,0.46920090052816604,238378.0
6,71.66666666666667,123,23,1605.222222222222,0.343,0.515538141462538,404354.0
15,71.4,126,22,1180.506666666667,0.2783,0.5844564873311254,255579.0
8,56.0,113,12,1016.75,0.2327,0.5803164419200685,160364.0
9,78.22222222222223,124,17,1219.0617283950617,0.2882,0.5543585692842802,395497.0
6,43.666666666666664,77,25,391.5555555555556,0.3133,0.5884216800332069,87589.0
13,85.76923076923077,122,21,1058.1775147928993,0.2303,0.5932823333475324,229541.0
3,38.666666666666664,58,26,192.8888888888889,0.3706,0.5408246010541916,101224.0
15,88.06666666666666,128,14,950.1955555555555,0.2432,0.5623591189583143,421748.0
3,101.33333333333333,121,65,661.5555555555555,0.422,0.5188192698690627,223003.0
15,61.266666666666666,107,11,799.9288888888889,0.2295,0.6436742176612218,103290.0
10,56.3,122,31,626.01,0.2504,0.567662953833739,139549.0
5,81.2,100,54,475.75999999999993,0.3776,0.4460267765654458,333588.0
10,71.8,120,12,1477.36,0.2282,0.5494190148181386,373228.0
15,76.13333333333334,128,19,752.5155555555556,0.2307,0.6243011054065493,379360.0
8,73.625,98,47,317.734375,0.2976,0.5424018934369087,323550.0
12,61.083333333333336,115,15,864.7430555555557,0.2198,0.6223125401470396,93076.0
12,58.166666666666664,117,13,950.4722222222222,0.2409,0.5893407407734129,76501.0
11,65.81818181818181,125,14,1327.4214876033056,0.2715,0.6175687293211619,421646.0
9,86.44444444444444,119,60,491.35802469135797,0.2838,0.5460065450933245,266794.0
14,68.21428571428571,125,14,1011.4540816326529,0.2474,0.5815451277626885,141464.0
14,56.92857142857143,123,17,966.4948979591837,0.2244,0.5629810225632456,301676.0
14,70.42857142857143,106,12,765.8163265306123,0.2469,0.6463315036561754,351506.0
13,47.46153846153846,115,14,1062.4023668639054,0.2183,0.6892065389288796,243917.0
5,51.4,96,15,776.24,0.348,0.559350366724862,213609.0
14,72.64285714285714,127,10,1776.3724489795918,0.2396,0.6148198227087657,456885.0
9,54.666666666666664,124,16,1566.4444444444446,0.2238,0.645516214436955,392952.0
5,92.2,122,36,968.96,0.3823,0.4630930667122205,309606.0
10,95.3,124,32,656.81,0.2643,0.5793791078858905,434011.0
6,52.333333333333336,90,18,760.8888888888888,0.3003,0.5756686222222116,72303.0
10,69.2,113,15,1106.36,0.2842,0.5747986972332001,225968.0
6,53.166666666666664,117,25,958.4722222222223,0.3474,0.6044692317644755,178008.0
14,80.57142857142857,128,30,1238.102040816327,0.244,0.5706616656647788,248945.0
15,57.733333333333334,102,13,766.0622222222222,0.2192,0.5995116993784905,86681.0
3,63.666666666666664,110,40,1073.5555555555554,0.402,0.47962956859005823,130130.0
6,74.66666666666667,120,22,1010.5555555555557,0.3716,0.495799992316299,95207.0
10,78.9,121,16,1574.8899999999999,0.2369,0.5976160647140609,150603.0
5,30.6,76,12,535.04,0.2802,0.5257213360733456,41176.0
13,66.0,120,12,1315.5384615384614,0.2588,0.5774418479866452,255213.0
3,101.0,113,79,242.66666666666666,0.4217,0.4915284285942713,265268.0
14,65.92857142857143,117,11,1275.2091836734694,0.2515,0.7482134732935164,258742.0
13,63.92307692307692,127,12,1827.6094674556216,0.2331,0.6157790523436334,132806.0
